seq_name	chromosome_score	plasmid_score	virus_score
NODE_1_length_71609_cov_11815.851385	0.0000	0.0000	1.0000
NODE_2_length_54278_cov_9516.841027	0.0000	0.0001	0.9999
NODE_3_length_10214_cov_229.757752	0.0051	0.0435	0.9514
NODE_4_length_6625_cov_338.147793	0.0196	0.0021	0.9782
NODE_5_length_6026_cov_3.408977	0.0002	0.0001	0.9997
NODE_6_length_5550_cov_4.472247	0.2041	0.0216	0.7744
NODE_7_length_5424_cov_966.394301	0.0027	0.0004	0.9970
NODE_8_length_4778_cov_3.891171	0.0046	0.2402	0.7553
NODE_9_length_4132_cov_368.886191	0.0073	0.1635	0.8292
NODE_10_length_4082_cov_3.244599	0.0001	0.0000	0.9999
NODE_11_length_3975_cov_5.358163	0.0018	0.0001	0.9981
NODE_12_length_3874_cov_400.364231	0.7484	0.0762	0.1754
NODE_13_length_3054_cov_3.961320	0.0036	0.0111	0.9854
NODE_14_length_2882_cov_9.691900	0.4995	0.0159	0.4846
NODE_15_length_2709_cov_1509.564054	0.0008	0.0000	0.9991
NODE_16_length_2709_cov_5.069706	0.0289	0.0004	0.9708
NODE_17_length_2646_cov_4.914319	0.0026	0.0001	0.9973
NODE_18_length_2476_cov_451.095828	0.1395	0.2024	0.6581
NODE_19_length_2423_cov_3.152449	0.8308	0.1195	0.0498
NODE_20_length_2131_cov_4.066474	0.0015	0.0031	0.9955
NODE_21_length_2084_cov_257.350419	0.1251	0.0021	0.8728
NODE_22_length_1773_cov_329.644936	0.6516	0.1240	0.2245
NODE_23_length_1744_cov_4.910598	0.2164	0.0029	0.7807
NODE_24_length_1726_cov_136.152005	0.0805	0.0122	0.9072
NODE_25_length_1648_cov_10.849969	0.0106	0.0083	0.9811
NODE_26_length_1570_cov_4395.965677	0.0573	0.1837	0.7590
NODE_27_length_1486_cov_11256.461915	0.0020	0.0050	0.9929
NODE_28_length_1486_cov_10796.485674	0.0020	0.0050	0.9929
NODE_29_length_1257_cov_1492.813644	0.5989	0.0833	0.3178
NODE_30_length_1193_cov_7.792619	0.0594	0.0009	0.9397
NODE_31_length_1158_cov_16051.297371	0.0189	0.0011	0.9800
NODE_32_length_1152_cov_3.412033	0.6828	0.0272	0.2900
NODE_33_length_1113_cov_8805.211720	0.9200	0.0464	0.0336
NODE_34_length_1110_cov_10773.561137	0.7605	0.1053	0.1342
NODE_35_length_1100_cov_483.208612	0.6367	0.1719	0.1914
NODE_36_length_1013_cov_9563.459290	0.7940	0.0696	0.1364
NODE_37_length_809_cov_259.371353	0.6824	0.0668	0.2508
NODE_38_length_747_cov_4930.424855	0.5327	0.2152	0.2521
NODE_39_length_661_cov_6.985149	0.1193	0.0005	0.8802
NODE_40_length_654_cov_2.998331	0.0110	0.0043	0.9846
NODE_41_length_627_cov_1.632867	0.9269	0.0689	0.0042
NODE_42_length_613_cov_1.032258	0.9151	0.0347	0.0502
NODE_43_length_524_cov_2.115139	0.9782	0.0016	0.0201
NODE_44_length_477_cov_19945.443128	0.0056	0.0002	0.9943
NODE_45_length_471_cov_1.384615	0.7914	0.0481	0.1605
