query	target	aligned_genes	percent_genes	aligned_length	percent_length	identity	score
NODE_edge_2+_length_45381_cov_280	CheckV-048211	58	89.23	12961	94.69	95.34	12357.02
NODE_edge_2+_length_45381_cov_280	CheckV-048582	56	86.15	12847	93.86	95.77	12303.57
NODE_edge_2+_length_45381_cov_280	CheckV-048540	56	86.15	12847	93.86	94.09	12087.74
NODE_edge_2+_length_45381_cov_280	CheckV-048539	57	87.69	12994	94.93	92.22	11983.07
NODE_edge_2+_length_45381_cov_280	CheckV-044196	50	76.92	12278	89.7	75.57	9278.48
NODE_edge_2+_length_45381_cov_280	CheckV-058534	25	38.46	7051	51.51	56.11	3956.32
NODE_edge_2+_length_45381_cov_280	CheckV-044990	26	40.0	7289	53.25	53.98	3934.6
NODE_edge_2+_length_45381_cov_280	CheckV-056233	26	40.0	7289	53.25	53.8	3921.48
NODE_edge_2+_length_45381_cov_280	CheckV-055313	26	40.0	7289	53.25	53.77	3919.3
NODE_edge_2+_length_45381_cov_280	CheckV-048651	26	40.0	7289	53.25	53.29	3884.31
NODE_edge_2+_length_45381_cov_280	CheckV-048225	25	38.46	7066	51.62	54.79	3871.46
NODE_edge_2+_length_45381_cov_280	CheckV-051485	25	38.46	7117	51.99	53.51	3808.31
NODE_edge_2+_length_45381_cov_280	CheckV-048016	25	38.46	6850	50.04	55.5	3801.75
NODE_edge_2+_length_45381_cov_280	CheckV-047947	24	36.92	6780	49.53	55.87	3787.99
NODE_edge_2+_length_45381_cov_280	CheckV-048975	24	36.92	6878	50.25	54.65	3758.83
NODE_edge_2+_length_45381_cov_280	CheckV-053976	24	36.92	6780	49.53	55.23	3744.59
NODE_edge_2+_length_45381_cov_280	CheckV-048375	24	36.92	6780	49.53	55.19	3741.88
NODE_edge_2+_length_45381_cov_280	CheckV-055336	24	36.92	6536	47.75	57.09	3731.4
NODE_edge_2+_length_45381_cov_280	CheckV-047928	24	36.92	6828	49.88	54.58	3726.72
NODE_edge_2+_length_45381_cov_280	CheckV-050284	24	36.92	6828	49.88	54.41	3715.11
NODE_edge_2+_length_45381_cov_280	CheckV-047948	24	36.92	6503	47.51	57.02	3708.01
NODE_edge_2+_length_45381_cov_280	CheckV-054205	24	36.92	6503	47.51	57.01	3707.36
NODE_edge_2+_length_45381_cov_280	CheckV-055980	23	35.38	6800	49.68	54.16	3682.88
NODE_edge_2+_length_45381_cov_280	CheckV-048595	23	35.38	6491	47.42	56.72	3681.7
NODE_edge_2+_length_45381_cov_280	CheckV-044976	23	35.38	6534	47.74	56.04	3661.65
NODE_edge_2+_length_45381_cov_280	CheckV-044727	24	36.92	6518	47.62	56.1	3656.6
NODE_edge_2+_length_45381_cov_280	CheckV-054206	24	36.92	6673	48.75	54.61	3644.13
NODE_edge_2+_length_45381_cov_280	CheckV-049739	23	35.38	6620	48.36	55.04	3643.65
NODE_edge_2+_length_45381_cov_280	CheckV-047936	23	35.38	6466	47.24	56.03	3622.9
NODE_edge_2+_length_45381_cov_280	CheckV-058831	23	35.38	6466	47.24	56.02	3622.25
NODE_edge_2+_length_45381_cov_280	CheckV-052163	23	35.38	6466	47.24	55.98	3619.67
NODE_edge_2+_length_45381_cov_280	CheckV-053393	23	35.38	6361	46.47	56.85	3616.23
NODE_edge_2+_length_45381_cov_280	CheckV-048600	24	36.92	6494	47.44	55.54	3606.77
NODE_edge_2+_length_45381_cov_280	CheckV-048227	23	35.38	6466	47.24	55.61	3595.74
NODE_edge_2+_length_45381_cov_280	CheckV-046073	22	33.85	6473	47.29	55.17	3571.15
NODE_edge_2+_length_45381_cov_280	CheckV-059956	23	35.38	6330	46.24	56.2	3557.46
NODE_edge_2+_length_45381_cov_280	CheckV-050020	23	35.38	6250	45.66	56.78	3548.75
NODE_edge_2+_length_45381_cov_280	CheckV-050097	22	33.85	6500	47.49	54.35	3532.75
NODE_edge_2+_length_45381_cov_280	CheckV-048213	23	35.38	6321	46.18	55.86	3530.91
NODE_edge_2+_length_45381_cov_280	CheckV-048214	22	33.85	6258	45.72	56.32	3524.51
NODE_edge_2+_length_45381_cov_280	CheckV-050286	22	33.85	6204	45.32	56.74	3520.15
NODE_edge_2+_length_45381_cov_280	CheckV-048063	24	36.92	6419	46.9	54.75	3514.4
NODE_edge_2+_length_45381_cov_280	CheckV-048664	22	33.85	6204	45.32	56.62	3512.7
NODE_edge_2+_length_45381_cov_280	CheckV-048277	22	33.85	6317	46.15	55.53	3507.83
NODE_edge_2+_length_45381_cov_280	CheckV-050963	24	36.92	6769	49.45	51.63	3494.83
