gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_1_length_71609_cov_11815.851385_1	3	134	132	1	0.583	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_2	137	505	369	1	0.593	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_3	579	2192	1614	1	0.615	11	GGA/GAG/AGG	GENOMAD.060983.VV	4.064e-34	142	0	0	0	1246	Caudoviricetes	NA	NA	PF13086;PF13262;TIGR01073;COG1074;K19781	AAA domain
NODE_1_length_71609_cov_11815.851385_4	2189	2548	360	1	0.611	11	None	GENOMAD.067773.VV	1.251e-08	54	0	0	0	15667	Pourcelvirus	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_5	2563	3321	759	1	0.640	11	AGGAG	GENOMAD.133370.VV	1.025e-52	188	0	0	0	1246	Caudoviricetes	NA	NA	PF17338;PF01710;COG2826	Gene product 88; Transposase
NODE_1_length_71609_cov_11815.851385_6	3314	3505	192	1	0.568	11	AGGAG	GENOMAD.108173.VV	4.868e-11	58	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_7	3502	3825	324	1	0.608	11	AGGAG	GENOMAD.218832.VP	1.092e-21	91	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_8	3818	4087	270	1	0.596	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_9	4098	4292	195	1	0.610	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_10	4428	4733	306	1	0.601	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_11	4816	5100	285	1	0.579	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_12	5115	5828	714	-1	0.590	11	GGAG/GAGG	GENOMAD.225488.VP	9.996e-10	61	0	0	0	1	NA	NA	NA	PF08667;TIGR00498;COG1974;K07727	SOS regulatory protein LexA
NODE_1_length_71609_cov_11815.851385_13	6098	6706	609	-1	0.637	11	GGA/GAG/AGG	GENOMAD.153294.VP	5.439e-37	140	0	0	0	4413	Schitoviridae	NA	NA	PF02075;COG0817;TIGR00228;K01159	Holliday junction resolvasome RuvABC endonuclease subunit
NODE_1_length_71609_cov_11815.851385_14	6820	7650	831	1	0.628	11	GGA/GAG/AGG	GENOMAD.194220.VP	2.684e-06	51	0	0	0	1246	Caudoviricetes	NA	NA	PF13730;COG5529;TIGR03337	Pyocin large subunit
NODE_1_length_71609_cov_11815.851385_15	7855	9423	1569	1	0.616	11	AGGA/GGAG/GAGG	GENOMAD.125743.VV	1.138e-30	131	0	0	1	1246	Caudoviricetes	NA	NA	PF20307;TIGR03878;COG0468;K04485	Divergent DnaB-like ATPase
NODE_1_length_71609_cov_11815.851385_16	9485	10084	600	1	0.623	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_17	10198	10605	408	1	0.618	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_18	10605	10955	351	1	0.630	11	AGxAGG/AGGxGG	GENOMAD.087745.VV	2.498e-08	53	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_19	10933	11517	585	1	0.624	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_20	11514	12464	951	1	0.642	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_21	12454	12693	240	1	0.629	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_22	12690	13370	681	1	0.615	11	GGAG/GAGG	GENOMAD.209068.VC	0.0002758	44	0	0	0	1	NA	NA	NA	PF00929;COG0847;TIGR01407;K18969	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease
NODE_1_length_71609_cov_11815.851385_23	13383	14342	960	1	0.620	11	AGGAG	GENOMAD.181728.VV	1.194e-17	87	0	0	1	1246	Caudoviricetes	NA	NA	PF09588;COG5377;TIGR03033	Phage-related protein, predicted endonuclease
NODE_1_length_71609_cov_11815.851385_24	14358	15092	735	1	0.619	11	AGGAG	GENOMAD.014798.VV	9.861e-39	147	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_25	15082	15345	264	1	0.640	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_26	15369	15866	498	1	0.608	11	GGA/GAG/AGG	GENOMAD.104660.VP	1.178e-19	88	0	0	0	1246	Caudoviricetes	NA	NA	PF07105	NinB protein
NODE_1_length_71609_cov_11815.851385_27	15866	16309	444	1	0.637	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_28	16309	16449	141	1	0.624	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_29	16446	16598	153	1	0.614	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_30	16585	16863	279	1	0.624	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_31	16860	17081	222	1	0.604	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_32	17078	17521	444	1	0.622	11	AGGA	GENOMAD.180939.VP	0.0001619	43	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_33	17521	17754	234	1	0.620	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_34	17747	18292	546	1	0.606	11	4Base/6BMM	GENOMAD.222497.VP	3.904e-21	93	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_35	18240	18461	222	1	0.545	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_36	18490	18825	336	1	0.661	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_37	18855	22295	3441	1	0.636	11	GGA/GAG/AGG	GENOMAD.154368.VC	1.226e-107	381	0	0	0	1246	Caudoviricetes	NA	NA	PF08471;PF02867;TIGR02504	Class II vitamin B12-dependent ribonucleotide reductase; Ribonucleotide reductase, barrel domain
NODE_1_length_71609_cov_11815.851385_38	22403	22840	438	1	0.646	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_39	22903	23565	663	1	0.653	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_40	23711	24937	1227	1	0.619	11	GGAG/GAGG	GENOMAD.170647.VV	2.006e-08	59	0	0	0	1246	Caudoviricetes	NA	NA	PF09414;TIGR02306	RNA ligase, DRB0094 family
NODE_1_length_71609_cov_11815.851385_41	25133	25462	330	1	0.618	11	4Base/6BMM	GENOMAD.157734.VV	0.0002755	41	0	0	0	1246	Caudoviricetes	NA	NA	PF19698	NA
NODE_1_length_71609_cov_11815.851385_42	25459	25842	384	1	0.620	11	AGGAG	GENOMAD.146394.VC	8.25e-17	78	0	0	0	1246	Caudoviricetes	NA	NA	PF12643;COG1694	NTP pyrophosphatase, house-cleaning of non-canonical NTPs
NODE_1_length_71609_cov_11815.851385_43	25907	26296	390	1	0.633	11	AGGAG	GENOMAD.203511.VV	4.014e-17	79	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_44	26293	26412	120	1	0.575	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_45	26489	27370	882	1	0.638	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_46	27420	27860	441	1	0.594	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_47	27847	28008	162	1	0.549	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_48	28005	28172	168	1	0.589	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_49	28169	28405	237	1	0.629	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_50	28408	29265	858	1	0.606	11	AGGA	GENOMAD.030736.VV	2.575e-13	73	0	0	0	1246	Caudoviricetes	NA	NA	PF00303;COG0207;TIGR03284;K00560	Thymidylate synthase
NODE_1_length_71609_cov_11815.851385_51	29262	29582	321	1	0.617	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_52	29579	29827	249	1	0.671	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_53	30008	31165	1158	1	0.624	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_54	31459	31725	267	1	0.640	11	GGAG/GAGG	GENOMAD.192253.VV	9.517e-08	50	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_55	31725	31946	222	1	0.703	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_56	32031	32414	384	1	0.648	11	GGAG/GAGG	GENOMAD.122449.VV	2.619e-12	65	0	0	0	6129	Xiamenvirus	NA	NA	PF01653	NA
NODE_1_length_71609_cov_11815.851385_57	32411	32839	429	1	0.601	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_58	32836	33126	291	1	0.598	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_59	33129	33332	204	1	0.578	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_60	33332	33988	657	1	0.639	11	GGA/GAG/AGG	GENOMAD.220675.VP	3.371e-12	68	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_61	33951	34547	597	-1	0.616	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_62	34556	34864	309	-1	0.612	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_63	35249	35752	504	1	0.637	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_64	35749	36057	309	1	0.615	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_65	36054	36248	195	1	0.631	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_66	36248	36457	210	1	0.600	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_67	36520	37137	618	1	0.639	11	GGA/GAG/AGG	GENOMAD.095110.VV	0.0009458	42	0	0	0	1246	Caudoviricetes	NA	NA	COG4725	N6-adenosine-specific RNA methylase IME4
NODE_1_length_71609_cov_11815.851385_68	37134	37427	294	1	0.622	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_69	37452	37982	531	1	0.665	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_70	37993	38511	519	1	0.659	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_71	38511	38888	378	1	0.635	11	AGxAGG/AGGxGG	GENOMAD.216382.VP	1.189e-28	112	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_72	38888	39172	285	1	0.600	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_73	39172	39360	189	1	0.619	11	GGAG/GAGG	GENOMAD.108737.VV	1.174e-09	54	0	0	0	2527	Dolichocephalovirinae	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_74	39357	39665	309	1	0.605	11	4Base/6BMM	GENOMAD.130609.VV	4.438e-05	43	0	0	0	9502	Epseptimavirus	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_75	39799	40062	264	1	0.636	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_76	40268	40654	387	-1	0.630	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_77	40654	41334	681	-1	0.631	11	AGGAG	GENOMAD.207058.VP	8.013e-09	58	0	0	1	1246	Caudoviricetes	NA	NA	PF04860;PF04275;TIGR01537;K19797;COG4383	phage portal protein, HK97 family
NODE_1_length_71609_cov_11815.851385_78	41368	41835	468	-1	0.673	11	GGA/GAG/AGG	GENOMAD.119386.VV	2.049e-61	208	0	0	0	1246	Caudoviricetes	NA	NA	PF11071;TIGR03646;COG3613	YtoQ family protein
NODE_1_length_71609_cov_11815.851385_79	41865	43853	1989	-1	0.639	11	GGA/GAG/AGG	GENOMAD.104086.VV	1.613e-76	274	0	0	0	1246	Caudoviricetes	NA	NA	PF12850;TIGR00024;COG1407;K07096	putative phosphoesterase, SbcD/Mre11-related
NODE_1_length_71609_cov_11815.851385_80	44038	44367	330	-1	0.600	11	AGGA/GGAG/GAGG	GENOMAD.167655.VP	1.607e-10	59	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_81	44367	44552	186	-1	0.629	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_82	44572	44997	426	-1	0.636	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_83	44990	46156	1167	-1	0.642	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_84	46171	47283	1113	-1	0.615	11	GGAG/GAGG	GENOMAD.209614.VP	3.038e-20	96	0	0	1	1246	Caudoviricetes	NA	NA	PF05954;K06905;COG3500;TIGR03361	Phage protein D
NODE_1_length_71609_cov_11815.851385_85	47379	47600	222	-1	0.581	11	GGA/GAG/AGG	GENOMAD.159179.VP	1.754e-10	57	0	0	1	1246	Caudoviricetes	NA	NA	COG5004;K06370	P2-like prophage tail protein X
NODE_1_length_71609_cov_11815.851385_86	47600	48148	549	-1	0.612	11	GGAG/GAGG	GENOMAD.124222.VP	2.096e-19	88	0	0	0	1246	Caudoviricetes	NA	NA	K06906;COG3499	Phage protein U
NODE_1_length_71609_cov_11815.851385_87	48205	51576	3372	-1	0.625	11	GGAG/GAGG	GENOMAD.080691.VV	3.477e-27	123	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_88	51615	51815	201	-1	0.542	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_89	51776	52051	276	-1	0.580	11	GGA/GAG/AGG	GENOMAD.171929.VC	1.197e-06	47	0	0	1	1246	Caudoviricetes	NA	NA	PF10109	Phage tail assembly chaperone proteins, E, or 41 or 14
NODE_1_length_71609_cov_11815.851385_90	52132	52656	525	-1	0.592	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_91	52751	54187	1437	-1	0.672	11	GGAG/GAGG	GENOMAD.151363.VV	7.305e-67	239	0	0	1	1246	Caudoviricetes	NA	NA	PF10758;COG3497	Phage tail sheath protein FI
NODE_1_length_71609_cov_11815.851385_92	54252	54674	423	-1	0.598	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_93	54678	55409	732	-1	0.616	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_94	55393	56676	1284	-1	0.613	11	None	GENOMAD.040796.VV	3.458e-42	164	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_95	56666	57295	630	-1	0.606	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_96	57306	57851	546	-1	0.661	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_97	57854	58174	321	-1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_98	58181	58417	237	-1	0.603	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_99	58420	60105	1686	-1	0.623	11	GGxGG	GENOMAD.014890.VV	6.695e-24	110	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_100	60086	60301	216	-1	0.597	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_101	60323	62578	2256	-1	0.643	11	GGA/GAG/AGG	GENOMAD.111617.VV	1.047e-140	467	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_102	62642	63871	1230	-1	0.627	11	GGAG/GAGG	GENOMAD.118467.VP	7.937e-53	195	0	0	1	1246	Caudoviricetes	NA	NA	PF09684;TIGR01634;COG4385	phage tail protein, P2 protein I family
