seq_name	chromosome_score	plasmid_score	virus_score
NODE_1_length_71609_cov_11815.851385	0.0001	0.0002	0.9998
NODE_2_length_54278_cov_9516.841027	0.0001	0.0003	0.9996
NODE_3_length_10214_cov_229.757752	0.0001	0.0003	0.9996
NODE_4_length_6625_cov_338.147793	0.0155	0.0055	0.9790
NODE_5_length_6026_cov_3.408977	0.0001	0.0004	0.9995
NODE_6_length_5550_cov_4.472247	0.0007	0.0031	0.9962
NODE_7_length_5424_cov_966.394301	0.0001	0.0002	0.9997
NODE_8_length_4778_cov_3.891171	0.0005	0.3739	0.6256
NODE_9_length_4132_cov_368.886191	0.0006	0.0849	0.9145
NODE_10_length_4082_cov_3.244599	0.0001	0.0003	0.9997
NODE_11_length_3975_cov_5.358163	0.0001	0.0002	0.9997
NODE_12_length_3874_cov_400.364231	0.1043	0.0420	0.8538
NODE_13_length_3054_cov_3.961320	0.0001	0.0058	0.9941
NODE_14_length_2882_cov_9.691900	0.0461	0.0133	0.9406
NODE_15_length_2709_cov_1509.564054	0.0001	0.0002	0.9998
NODE_16_length_2709_cov_5.069706	0.0088	0.0034	0.9877
NODE_17_length_2646_cov_4.914319	0.0001	0.0002	0.9998
NODE_18_length_2476_cov_451.095828	0.0013	0.0184	0.9803
NODE_19_length_2423_cov_3.152449	0.0772	0.9029	0.0199
NODE_20_length_2131_cov_4.066474	0.0003	0.0003	0.9994
NODE_21_length_2084_cov_257.350419	0.0014	0.0013	0.9973
NODE_22_length_1773_cov_329.644936	0.0774	0.0718	0.8508
NODE_23_length_1744_cov_4.910598	0.0017	0.0055	0.9927
NODE_24_length_1726_cov_136.152005	0.0176	0.0098	0.9726
NODE_25_length_1648_cov_10.849969	0.0001	0.0002	0.9997
NODE_26_length_1570_cov_4395.965677	0.0120	0.0498	0.9382
NODE_27_length_1486_cov_11256.461915	0.0008	0.0004	0.9988
NODE_28_length_1486_cov_10796.485674	0.0003	0.0003	0.9994
NODE_29_length_1257_cov_1492.813644	0.1104	0.0962	0.7935
NODE_30_length_1193_cov_7.792619	0.0005	0.0014	0.9981
NODE_31_length_1158_cov_16051.297371	0.0003	0.0010	0.9987
NODE_32_length_1152_cov_3.412033	0.6981	0.1340	0.1679
NODE_33_length_1113_cov_8805.211720	0.5843	0.2902	0.1255
NODE_34_length_1110_cov_10773.561137	0.3575	0.4492	0.1933
NODE_35_length_1100_cov_483.208612	0.2539	0.2810	0.4651
NODE_36_length_1013_cov_9563.459290	0.9106	0.0616	0.0278
NODE_37_length_809_cov_259.371353	0.5661	0.2723	0.1616
NODE_38_length_747_cov_4930.424855	0.0241	0.8840	0.0918
NODE_39_length_661_cov_6.985149	0.0046	0.0011	0.9943
NODE_40_length_654_cov_2.998331	0.0004	0.0004	0.9992
NODE_41_length_627_cov_1.632867	0.9693	0.0224	0.0083
NODE_42_length_613_cov_1.032258	0.7305	0.1257	0.1438
NODE_43_length_524_cov_2.115139	0.9964	0.0026	0.0010
NODE_44_length_477_cov_19945.443128	0.0011	0.0004	0.9985
NODE_45_length_471_cov_1.384615	0.8979	0.0758	0.0263
NODE_46_length_464_cov_2.014670	0.8517	0.0683	0.0800
