gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_edge_2+_length_45381_cov_280_1	1	318	318	-1	0.547	11	GGA/GAG/AGG	GENOMAD.111122.VV	3.821e-24	98	0	0	0	722	Benedictvirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_2	408	749	342	-1	0.573	11	AGGA	GENOMAD.115356.VV	3.145e-29	113	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_3	776	1195	420	-1	0.540	11	AGxAGG/AGGxGG	GENOMAD.212244.VV	2.648e-17	80	0	0	0	18558	Rerduovirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_4	2583	3008	426	1	0.594	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_5	3183	3344	162	-1	0.605	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_6	3482	3904	423	1	0.572	11	AGGAGG	GENOMAD.030869.VV	1.932e-21	92	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_7	4074	5654	1581	1	0.621	11	GGAG/GAGG	GENOMAD.214614.VP	2.163e-06	53	0	0	0	1246	Caudoviricetes	NA	NA	COG3757	Lyzozyme M1 (1,4-beta-N-acetylmuramidase), GH25 family
NODE_edge_2+_length_45381_cov_280_8	5687	7369	1683	1	0.591	11	AGGAGG	GENOMAD.008099.VV	6.112e-173	552	0	0	1	1246	Caudoviricetes	NA	NA	PF03354;COG4626	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
NODE_edge_2+_length_45381_cov_280_9	7366	8796	1431	1	0.608	11	AGxAGG/AGGxGG	GENOMAD.075466.VV	6.738e-108	359	0	0	1	1246	Caudoviricetes	NA	NA	PF05133;TIGR01538;COG5511	phage portal protein, SPP1 family
NODE_edge_2+_length_45381_cov_280_10	8793	9683	891	1	0.606	11	AGGAG	GENOMAD.017999.VV	1.179e-109	355	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_11	9734	10219	486	1	0.601	11	AGGAG	GENOMAD.059588.VV	7.401e-24	100	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_12	10232	11134	903	1	0.604	11	AGGAG	GENOMAD.059267.VV	9.766e-123	393	0	0	1	1246	Caudoviricetes	NA	NA	PF05065;TIGR01554;COG4653	phage major capsid protein, HK97 family
NODE_edge_2+_length_45381_cov_280_13	11206	11412	207	1	0.589	11	AGGAGG	GENOMAD.069078.VV	4.48e-07	47	0	0	0	1246	Caudoviricetes	NA	NA	PF23976	NA
NODE_edge_2+_length_45381_cov_280_14	11415	11795	381	1	0.604	11	AGGAG	GENOMAD.014651.VV	1.154e-45	161	0	0	1	1246	Caudoviricetes	NA	NA	PF09355	Phage protein Gp19/Gp15/Gp42
NODE_edge_2+_length_45381_cov_280_15	11792	12148	357	1	0.577	11	GGAG/GAGG	GENOMAD.050775.VV	1.31e-40	146	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_16	12148	12459	312	1	0.593	11	GGAGG	GENOMAD.044186.VV	5.3e-43	152	0	0	0	1246	Caudoviricetes	NA	NA	PF17395	NA
NODE_edge_2+_length_45381_cov_280_17	12449	12868	420	1	0.562	11	GGAG/GAGG	GENOMAD.050672.VV	7.887e-56	191	0	0	1	1246	Caudoviricetes	NA	NA	PF23841	Phage tail termination protein
NODE_edge_2+_length_45381_cov_280_18	12877	13734	858	1	0.614	11	AGGAG	GENOMAD.023648.VV	6.543e-18	87	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_19	13848	14198	351	1	0.587	11	AGxAGG/AGGxGG	GENOMAD.051635.VV	1.972e-27	108	0	0	1	4599	Fromanvirus	NA	NA	PF17388	Mycobacteriophage tail assembly protein
NODE_edge_2+_length_45381_cov_280_20	14165	14623	459	1	0.617	11	None	GENOMAD.054453.VV	3.332e-20	89	0	0	0	1246	Caudoviricetes	NA	NA	PF17318	NA
